"AGE2","avgNervous","avgHopeless","avgRestless","avgSad","avgEffort","avgWorthless"
7,3.7484,4.2743,3.9408,4.3021,3.8389,4.2551
8,3.7930,4.2856,3.9813,4.2918,3.7968,4.2669
9,3.7898,4.2936,3.9823,4.3208,3.8378,4.2456
10,3.8165,4.2979,3.9492,4.3391,3.8906,4.3048
11,3.8483,4.3352,3.9967,4.3863,3.9112,4.3180
12,3.8945,4.3922,3.9814,4.4226,4.0033,4.3696
13,3.9560,4.4264,4.0607,4.4451,3.9952,4.4070
14,4.0210,4.4837,4.1262,4.5082,4.0796,4.4690
15,4.0824,4.5241,4.2073,4.5478,4.1379,4.5124
16,4.2010,4.6082,4.3163,4.6105,4.2620,4.6005
17,4.3045,4.7292,4.4100,4.7094,4.3555,4.7309
