Substance,"Sex","Used","Not Used"
Cigarettes,"Male",13528,12803
Cigarettes,"Female",13624,15205
Alcohol,"Male",18087,8234
Alcohol,"Female",20050,8771
Marijuana,"Male",11248,15061
Marijuana,"Female",10914,17905
Cocaine,"Male",3194,23123
Cocaine,"Female",2456,26368
Crack,"Male",761,2433
Crack,"Female",532,1924
Heroin,"Male",484,25825
Heroin,"Female",356,28453
LSD,"Male",2226,1888
LSD,"Female",1419,1784
Nitrates,"Male",618,1850
Nitrates,"Female",394,1471
Pain Relievers,"Male",1732,2391
Pain Relievers,"Female",1642,2401
Klonopin,"Male",730,1521
Klonopin,"Female",719,1682
Methamphetimine,"Male",787,1092
Methamphetimine,"Female",631,1191
Sedatives,"Male",245,256
Sedatives,"Female",158,282
